Voter Name,Affiliation,1st Place (5 points),2nd Place (3 points),3rd Place (1 point)
"Aldridge, David",The Athletic,Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Mobley Evan (CLE)
"Amick, Sam",The Athletic,Lopez Brook (MIL),Jackson Jr. Jaren (MEM),Green Draymond (GSW)
"Anthony, Greg",WarnerMedia,Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Claxton Nic (BKN)
"Aschburner, Steve",NBA.com,Lopez Brook (MIL),Jackson Jr. Jaren (MEM),Mobley Evan (CLE)
"Aubin, Maxime",L'Equipe,Lopez Brook (MIL),Jackson Jr. Jaren (MEM),Antetokounmpo Giannis (MIL)
"Barao, Eduardo",BAND,Green Draymond (GSW),Lopez Brook (MIL),Jackson Jr. Jaren (MEM)
"Beck, Howard",PBWA/GQ,Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Mobley Evan (CLE)
"Bondy, Stefan",New York Daily News,Jackson Jr. Jaren (MEM),Antetokounmpo Giannis (MIL),Mobley Evan (CLE)
"Bontemps, Tim",ESPN,Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Green Draymond (GSW)
"Boone, Rod",Charlotte Observer,Jackson Jr. Jaren (MEM),Holiday Jrue (MIL),Butler Jimmy (MIA)
"Broussard, Chris",Fox Sports,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Holiday Jrue (MIL)
"Bucher, Ric",FS1,Lopez Brook (MIL),Green Draymond (GSW),Caruso Alex (CHI)
"Buha, Jovan",The Athletic,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL)
"Burke, Doris",ESPN,Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Green Draymond (GSW)
"Caplan, Callie",Dallas Morning News,Jackson Jr. Jaren (MEM),Adebayo Bam (MIA),Mobley Evan (CLE)
"Charania, Shams",The Athletic/Stadium,Lopez Brook (MIL),Jackson Jr. Jaren (MEM),Green Draymond (GSW)
"Chiang, Anthony",Miami Herald,Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Mobley Evan (CLE)
"Cole, Damichael",Memphis Commercial Appeal,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL)
"Collier, Jamal",ESPN,Lopez Brook (MIL),Jackson Jr. Jaren (MEM),Mobley Evan (CLE)
"Daimiel, Antoni",Movistar+,Lopez Brook (MIL),Jackson Jr. Jaren (MEM),Mobley Evan (CLE)
"Devine, Dan",Yahoo! Sports,Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Mobley Evan (CLE)
"Fedor, Chris",Cleveland.com,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL)
"Fentress, Aaron",The Oregonian,Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Claxton Nic (BKN)
"Ganter, Mike",The Toronto Sun,Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Anunoby O.G. (TOR)
