Voter,Affiliation,1st Place (10 points),2nd Place (7 points),3rd Place (5 points),4th Place (3 points),5th Place (1 point)
"Aldridge, David",The Athletic,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Mitchell Donovan (CLE)
"Amick, Sam",The Athletic,Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Jokic Nikola (DEN),Tatum Jayson (BOS),Sabonis Domantas (SAC)
"Anthony, Greg",WarnerMedia,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE)
"Aschburner, Steve",NBA.com,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Sabonis Domantas (SAC)
"Aubin, Maxime",L'Equipe,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC)
"Barao, Eduardo",BAND,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Curry Stephen (GSW),Tatum Jayson (BOS)
"Beck, Howard",PBWA/GQ,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Mitchell Donovan (CLE)
"Bondy, Stefan",New York Daily News,Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE)
"Bontemps, Tim",ESPN,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Gilgeous-Alexander Shai (OKC),Tatum Jayson (BOS)
"Boone, Rod",Charlotte Observer,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Mitchell Donovan (CLE)
"Broussard, Chris",Fox Sports,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE)
"Bucher, Ric",FS1,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Brunson Jalen (NYK)
"Buha, Jovan",The Athletic,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC)
"Burke, Doris",ESPN,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC)
"Caplan, Callie",Dallas Morning News,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC)
"Charania, Shams",The Athletic/Stadium,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Mitchell Donovan (CLE)
"Chiang, Anthony",Miami Herald,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Butler Jimmy (MIA)
"Cole, Damichael",Memphis Commercial Appeal,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Sabonis Domantas (SAC)
"Collier, Jamal",ESPN,Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Jokic Nikola (DEN),Tatum Jayson (BOS),Sabonis Domantas (SAC)
"Daimiel, Antoni",Movistar+,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC)
"Devine, Dan",Yahoo! Sports,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Mitchell Donovan (CLE)
"Fedor, Chris",Cleveland.com,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Doncic Luka (DAL)
"Fentress, Aaron",The Oregonian,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE)
"Ganter, Mike",The Toronto Sun,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Doncic Luka (DAL),Tatum Jayson (BOS)
"Geltzeiler, Brian",Sirius Radio,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE)
"Goodwill, Vince",Yahoo! Sports,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Sabonis Domantas (SAC)
"Grange, Michael",Rogers Sportsnet,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Gilgeous-Alexander Shai (OKC),Butler Jimmy (MIA)
"Greenberg, Jared",WarnerMedia,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC)
"Greenberg, Mike",ESPN,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Mitchell Donovan (CLE)
"Guillory, Will",The Athletic,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC)
"Harper, Zach",The Athletic,Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Jokic Nikola (DEN),Tatum Jayson (BOS),Sabonis Domantas (SAC)
"Haupt, Max",DPA,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Mitchell Donovan (CLE)
"Helin, Kurt",NBCSports.com,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC)
"Herring, Chris",Sports Illustrated,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Gilgeous-Alexander Shai (OKC),Tatum Jayson (BOS)
"Himmelsbach, Adam",Boston Globe,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC)
"Hubbarth, Cassidy",ESPN,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC)
"Iko, Kelly",The Athletic,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Sabonis Domantas (SAC)
"Isola, Frank",Sirius Radio,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Sabonis Domantas (SAC)
"Jackson, Mark",ESPN,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),Mitchell Donovan (CLE)
"Johnson, Ernie",WarnerMedia,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Sabonis Domantas (SAC)
"Jones, Jason",The Athletic,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE)
"Kenney, Madeline",Bay Area News Group,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC)
"Kestecher, Marc",ESPN,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Doncic Luka (DAL)
"Larsen, Andy",Salt Lake Tribune,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC)
"Ledlow, Kristen",WarnerMedia,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Sabonis Domantas (SAC)
"Lefkoe, Adam",WarnerMedia,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Sabonis Domantas (SAC)
"Lewis, Brian",New York Post,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Sabonis Domantas (SAC)
"Lowe, Zach",ESPN,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Mitchell Donovan (CLE)
"Mahoney, Brian",Associated Press,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC)
"Mahoney, Rob",The Ringer,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC)
"Mannix, Chris",Sports Illustrated,Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Jokic Nikola (DEN),Tatum Jayson (BOS),Sabonis Domantas (SAC)
"McDonald, Jeff",San Antonio Express-News,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Sabonis Domantas (SAC)
"McMenamin, Dave",ESPN,Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE)
"Meng, Chao",Tencent,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC)
"Miyaji, Yoko",Sports Graphic Number,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC)
"Modai, Yoav",Sport 5,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Mitchell Donovan (CLE)
"Mussatto, Joe",The Oklahoman,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC)
"Nichols, Rachel",Showtime,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Curry Stephen (GSW)
"O'Connor, Kevin",The Ringer,Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Jokic Nikola (DEN),Tatum Jayson (BOS),Fox De'Aaron (SAC)
"Owczarski, James",Milwaukee Journal Sentinel,Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE)
"Pasch, Dave",ESPN,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC)
"Pelton, Kevin",ESPN,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC)
"Perkins, Kendrick",ESPN,Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE)
"Pina, Michael",The Ringer,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Sabonis Domantas (SAC)
"Pompey, Keith",Philadelphia Inquirer,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Sabonis Domantas (SAC)
"Powell, Shaun",NBA.com,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Doncic Luka (DAL)
"Price, Khobi",Orlando Sentinel,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Sabonis Domantas (SAC)
"Rankin, Duane",Arizona Republic,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE)
"Ready, Stephanie",WarnerMedia,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Morant Ja (MEM)
