Voter Name,Affiliation,1st Place (5 points),2nd Place (3 points),3rd Place (1 point)
"Aldridge, David",The Athletic,"Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)","Monk, Malik (SAC)"
"Amick, Sam",The Athletic,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Portis, Bobby (MIL)"
"Anthony, Greg",WarnerMedia,"Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)","Powell, Norman (LAC)"
"Aschburner, Steve",NBA.com,"Portis, Bobby (MIL)","Brogdon, Malcolm (BOS)","Powell, Norman (LAC)"
"Aubin, Maxime",L'Equipe,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Portis, Bobby (MIL)"
"Barao, Eduardo",BAND,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Portis, Bobby (MIL)"
"Beck, Howard",PBWA/GQ,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Monk, Malik (SAC)"
"Bondy, Stefan",New York Daily News,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)"
"Bontemps, Tim",ESPN,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Jones, Tyus (MEM)"
"Boone, Rod",Charlotte Observer,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Portis, Bobby (MIL)"
"Broussard, Chris",Fox Sports,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Portis, Bobby (MIL)"
"Bucher, Ric",FS1,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Reaves, Austin (LAL)"
"Buha, Jovan",The Athletic,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Monk, Malik (SAC)"
"Burke, Doris",ESPN,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Powell, Norman (LAC)"
"Caplan, Callie",Dallas Morning News,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)"
"Charania, Shams",The Athletic/Stadium,"Portis, Bobby (MIL)","Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)"
"Chiang, Anthony",Miami Herald,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Jones, Tyus (MEM)"
"Cole, Damichael",Memphis Commercial Appeal,"Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)","Westbrook, Russell (LAC)"
"Collier, Jamal",ESPN,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)"
"Daimiel, Antoni",Movistar+,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Monk, Malik (SAC)"
"Devine, Dan",Yahoo! Sports,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)"
"Fedor, Chris",Cleveland.com,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Portis, Bobby (MIL)"
"Fentress, Aaron",The Oregonian,"Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)","Quickley, Immanuel (NYK)"
"Ganter, Mike",The Toronto Sun,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Powell, Norman (LAC)"
"Geltzeiler, Brian",Sirius Radio,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Monk, Malik (SAC)"
"Goodwill, Vince",Yahoo! Sports,"Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)","Quickley, Immanuel (NYK)"
"Grange, Michael",Rogers Sportsnet,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Portis, Bobby (MIL)"
"Greenberg, Jared",WarnerMedia,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Monk, Malik (SAC)"
"Greenberg, Mike",ESPN,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Reaves, Austin (LAL)"
"Guillory, Will",The Athletic,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)"
"Harper, Zach",The Athletic,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Monk, Malik (SAC)"
"Haupt, Max",DPA,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)"
"Helin, Kurt",NBCSports.com,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Portis, Bobby (MIL)"
Voter Name,Affiliation,1st Place (5 points),2nd Place (3 points),3rd Place (1 point)
"Herring, Chris",Sports Illustrated,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)"
"Himmelsbach, Adam",Boston Globe,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Reaves, Austin (LAL)"
"Hubbarth, Cassidy",ESPN,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Portis, Bobby (MIL)"
"Iko, Kelly",The Athletic,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Powell, Norman (LAC)"
"Isola, Frank",Sirius Radio,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Portis, Bobby (MIL)"
"Jackson, Mark",ESPN,"Portis, Bobby (MIL)","Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)"
"Johnson, Ernie",WarnerMedia,"Brogdon, Malcolm (BOS)","Powell, Norman (LAC)","Portis, Bobby (MIL)"
"Jones, Jason",The Athletic,"Brogdon, Malcolm (BOS)","Monk, Malik (SAC)","Quickley, Immanuel (NYK)"
"Kenney, Madeline",Bay Area News Group,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Jones, Tyus (MEM)"
"Kestecher, Marc",ESPN,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)"
"Larsen, Andy",Salt Lake Tribune,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Jones, Tyus (MEM)"
"Ledlow, Kristen",WarnerMedia,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Portis, Bobby (MIL)"
"Lefkoe, Adam",WarnerMedia,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)"
"Lewis, Brian",New York Post,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Powell, Norman (LAC)"
"Lowe, Zach",ESPN,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Reaves, Austin (LAL)"
"Mahoney, Brian",Associated Press,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)"
"Mahoney, Rob",The Ringer,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)"
"Mannix, Chris",Sports Illustrated,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Powell, Norman (LAC)"
"McDonald, Jeff",San Antonio Express-News,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Jones, Tyus (MEM)"
"McMenamin, Dave",ESPN,"Quickley, Immanuel (NYK)","Portis, Bobby (MIL)","Brogdon, Malcolm (BOS)"
"Meng, Chao",Tencent,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Powell, Norman (LAC)"
"Miyaji, Yoko",Sports Graphic Number,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Powell, Norman (LAC)"
"Modai, Yoav",Sport 5,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)"
"Mussatto, Joe",The Oklahoman,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Powell, Norman (LAC)"
"Nichols, Rachel",Showtime,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Jones, Tyus (MEM)"
"O'Connor, Kevin",The Ringer,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Monk, Malik (SAC)"
"Owczarski, James",Milwaukee Journal Sentinel,"Brogdon, Malcolm (BOS)","Monk, Malik (SAC)","Portis, Bobby (MIL)"
"Pasch, Dave",ESPN,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)"
"Pelton, Kevin",ESPN,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Reaves, Austin (LAL)"
"Perkins, Kendrick",ESPN,"Portis, Bobby (MIL)","Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)"
"Pina, Michael",The Ringer,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Powell, Norman (LAC)"
