Voter,Affiliation,1st Place (5 points),2nd Place (3 points),3rd Place (1 point)
"Aldridge, David",The Athletic,"Brown, Mike (SAC)","Malone, Michael (DEN)","Bickerstaff, J.B. (CLE)"
"Amick, Sam",The Athletic,"Brown, Mike (SAC)","Thibodeau, Tom (NYK)","Daigneault, Mark (OKC)"
"Anthony, Greg",WarnerMedia,"Brown, Mike (SAC)","Daigneault, Mark (OKC)","Budenholzer, Mike (MIL)"
"Aschburner, Steve",NBA.com,"Brown, Mike (SAC)","Daigneault, Mark (OKC)","Mazzulla, Joe (BOS)"
"Aubin, Maxime",L'Equipe,"Brown, Mike (SAC)","Mazzulla, Joe (BOS)","Daigneault, Mark (OKC)"
"Barao, Eduardo",BAND,"Brown, Mike (SAC)","Malone, Michael (DEN)","Budenholzer, Mike (MIL)"
"Beck, Howard",PBWA/GQ,"Brown, Mike (SAC)","Bickerstaff, J.B. (CLE)","Daigneault, Mark (OKC)"
"Bondy, Stefan",New York Daily News,"Brown, Mike (SAC)","Malone, Michael (DEN)","Budenholzer, Mike (MIL)"
"Bontemps, Tim",ESPN,"Brown, Mike (SAC)","Bickerstaff, J.B. (CLE)","Mazzulla, Joe (BOS)"
"Boone, Rod",Charlotte Observer,"Brown, Mike (SAC)","Mazzulla, Joe (BOS)","Malone, Michael (DEN)"
"Broussard, Chris",Fox Sports,"Brown, Mike (SAC)","Daigneault, Mark (OKC)","Vaughn, Jacque (BKN)"
"Bucher, Ric",FS1,"Brown, Mike (SAC)","Bickerstaff, J.B. (CLE)","Malone, Michael (DEN)"
"Buha, Jovan",The Athletic,"Brown, Mike (SAC)","Jenkins, Taylor (MEM)","Bickerstaff, J.B. (CLE)"
"Burke, Doris",ESPN,"Brown, Mike (SAC)","Mazzulla, Joe (BOS)","Daigneault, Mark (OKC)"
"Caplan, Callie",Dallas Morning News,"Brown, Mike (SAC)","Daigneault, Mark (OKC)","Malone, Michael (DEN)"
"Charania, Shams",The Athletic/Stadium,"Brown, Mike (SAC)","Daigneault, Mark (OKC)","Vaughn, Jacque (BKN)"
"Chiang, Anthony",Miami Herald,"Brown, Mike (SAC)","Daigneault, Mark (OKC)","Bickerstaff, J.B. (CLE)"
"Cole, Damichael",Memphis Commercial Appeal,"Brown, Mike (SAC)","Daigneault, Mark (OKC)","Jenkins, Taylor (MEM)"
"Collier, Jamal",ESPN,"Brown, Mike (SAC)","Daigneault, Mark (OKC)","Budenholzer, Mike (MIL)"
"Daimiel, Antoni",Movistar+,"Brown, Mike (SAC)","Mazzulla, Joe (BOS)","Daigneault, Mark (OKC)"
"Devine, Dan",Yahoo! Sports,"Brown, Mike (SAC)","Daigneault, Mark (OKC)","Bickerstaff, J.B. (CLE)"
"Fedor, Chris",Cleveland.com,"Brown, Mike (SAC)","Daigneault, Mark (OKC)","Hardy, Will (UTA)"
"Fentress, Aaron",The Oregonian,"Brown, Mike (SAC)","Daigneault, Mark (OKC)","Vaughn, Jacque (BKN)"
"Ganter, Mike",The Toronto Sun,"Brown, Mike (SAC)","Bickerstaff, J.B. (CLE)","Daigneault, Mark (OKC)"
"Geltzeiler, Brian",Sirius Radio,"Brown, Mike (SAC)","Malone, Michael (DEN)","Thibodeau, Tom (NYK)"
"Goodwill,  Vince",Yahoo! Sports,"Brown, Mike (SAC)","Bickerstaff, J.B. (CLE)","Daigneault, Mark (OKC)"
