Voter Name,Affiliation,1st Place (10 points),2nd Place (7 points),3rd Place (5 points),4th Place (3 points),5th Place (1 point)
"Aldridge, David",The Athletic,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Amick, Sam",The Athletic,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Anderson, Jason",Sacramento Bee,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Booker, Devin (PHX)"
"Anthony, Greg",Turner,"Embiid, Joel (PHI)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)"
"Arnovitz, Kevin",ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)"
"Aschburner, Steve",NBA.com,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Bancharel, Antoine",L'Equipe / Canal+,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Morant, Ja (MEM)"
"Bao, Renjun",Tencent,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Booker, Devin (PHX)"
"Beck, Howard",Sports Illustrated,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Curry, Stephen (GSW)"
"Bontemps, Tim",ESPN,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Boone, Rod",Charlotte Observer,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Tatum, Jayson (BOS)"
"Broussard, Chris",Fox Sports,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Booker, Devin (PHX)"
"Bucher, Ric",FS1,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Paul, Chris (PHX)"
"Burke, Doris",ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Booker, Devin (PHX)"
"Caplan, Callie",Dallas Morning News,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Booker, Devin (PHX)"
"Charania, Shams",The Athletic/Stadium,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)"
"Chiang, Anthony",Miami Herald,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Booker, Devin (PHX)"
"Chinellato, Davide",La Gazzetta dello Sport,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Morant, Ja (MEM)"
"Daimiel, Antoni",Movistar+,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Devine, Dan",The Ringer,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Edwards III, James",The Athletic,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Tatum, Jayson (BOS)","Doncic, Luka (DAL)"
"Fedor, Chris",Clevleand.com,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Goodwill, Vince",Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)"
"Grange, Michael",Rogers Sportsnet,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Tatum, Jayson (BOS)"
"Greenberg, Jared",Turner,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Greenberg, Mike",ESPN,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Harlan, Kevin",Turner,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Booker, Devin (PHX)"
"Harper, Zach",The Athletic,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Helin, Kurt",NBCSports.com,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)"
"Herring, Chris",Sports Illustrated,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)"
"Hill, Drew",Daily Memphian,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)"
"Himmelsbach, Adam",Boston Globe,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Booker, Devin (PHX)"
