voter_name,affiliation,award,name,value,points,avgPoints,diff,diffSquared,ballot
David Aldridge,The Athletic,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
David Aldridge,The Athletic,COY,x2nd_Place_3_points,"Chris Finch, Minnesota",3,1.060606061,1.939393939,3.761248852,COY
David Aldridge,The Athletic,COY,x3rd_Place_1_points,"Jamahl Mosley, Orlando",1,1.595959596,-0.595959596,0.35516784,COY
Sam Amick,The Athletic,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Sam Amick,The Athletic,COY,x2nd_Place_3_points,"Chris Finch, Minnesota",3,1.060606061,1.939393939,3.761248852,COY
Sam Amick,The Athletic,COY,x3rd_Place_1_points,"Joe Mazzulla, Boston",1,0.797979798,0.202020202,0.040812162,COY
Jason Anderson,Sacramento Bee,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Jason Anderson,Sacramento Bee,COY,x2nd_Place_3_points,"Jamahl Mosley, Orlando",3,1.595959596,1.404040404,1.971329456,COY
Jason Anderson,Sacramento Bee,COY,x3rd_Place_1_points,"Chris Finch, Minnesota",1,1.060606061,-0.060606061,0.003673095,COY
Greg Anthony,WarnerMedia,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Greg Anthony,WarnerMedia,COY,x2nd_Place_3_points,"Joe Mazzulla, Boston",3,0.797979798,2.202020202,4.84889297,COY
Greg Anthony,WarnerMedia,COY,x3rd_Place_1_points,"Jamahl Mosley, Orlando",1,1.595959596,-0.595959596,0.35516784,COY
Steve Aschburner,NBA.com,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Steve Aschburner,NBA.com,COY,x2nd_Place_3_points,"Chris Finch, Minnesota",3,1.060606061,1.939393939,3.761248852,COY
Steve Aschburner,NBA.com,COY,x3rd_Place_1_points,"Jamahl Mosley, Orlando",1,1.595959596,-0.595959596,0.35516784,COY
Maxime Aubin,L'Equipe,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
