player,name,pick,Average,,,
Victor Wembanyama,Sam Vecenie,1,1,,,
Victor Wembanyama,CBS,1,1,,,
Victor Wembanyama,nbadraft.net,1,1,,,
Victor Wembanyama,Bleacher Report,1,1,,,
Victor Wembanyama,Kevin O'Connor,1,1,,,
Victor Wembanyama,ESPN,1,1,,,
Victor Wembanyama,Tankathon,1,1,,,
Victor Wembanyama,The Box and One,1,1,,,
Victor Wembanyama,NBA Draft Room,1,1,,,
Victor Wembanyama,Sports Illustrated,1,1,,,
Victor Wembanyama,Average,1,1,,,
Scoot Henderson,Sam Vecenie,2,2.272727273,,,
Scoot Henderson,CBS,2,2.272727273,,,
Scoot Henderson,nbadraft.net,3,2.272727273,,,
Scoot Henderson,Bleacher Report,2,2.272727273,,,
Scoot Henderson,Kevin O'Connor,3,2.272727273,,,
Scoot Henderson,ESPN,3,2.272727273,,,
Scoot Henderson,Tankathon,2,2.272727273,,,
Scoot Henderson,The Box and One,2,2.272727273,,,
Scoot Henderson,NBA Draft Room,2,2.272727273,,,
Scoot Henderson,Sports Illustrated,2,2.272727273,,,
Scoot Henderson,Average,2,2.3,,,
Brandon Miller,Sam Vecenie,3,3,,,
Brandon Miller,CBS,4,3,,,
Brandon Miller,nbadraft.net,2,3,,,
Brandon Miller,Bleacher Report,4,3,,,
Brandon Miller,Kevin O'Connor,2,3,,,
Brandon Miller,ESPN,2,3,,,
Brandon Miller,Tankathon,3,3,,,
Brandon Miller,The Box and One,4,3,,,
Brandon Miller,NBA Draft Room,3,3,,,
Brandon Miller,Sports Illustrated,3,3,,,
Brandon Miller,Average,3,3,,,
Amen Thompson,Sam Vecenie,4,4,,,
Amen Thompson,CBS,3,4,,,
Amen Thompson,nbadraft.net,6,4,,,
Amen Thompson,Bleacher Report,3,4,,,
Amen Thompson,Kevin O'Connor,4,4,,,
Amen Thompson,ESPN,4,4,,,
Amen Thompson,Tankathon,4,4,,,
Amen Thompson,The Box and One,3,4,,,
Amen Thompson,NBA Draft Room,4,4,,,
Amen Thompson,Sports Illustrated,5,4,,,
Amen Thompson,Average,4,4,,,
Ausar Thompson,Average,7,6.9,,,
Ausar Thompson,Sam Vecenie,7,6.909090909,,,
Ausar Thompson,CBS,6,6.909090909,,,
Ausar Thompson,nbadraft.net,7,6.909090909,,,
Ausar Thompson,Bleacher Report,6,6.909090909,,,
Ausar Thompson,Kevin O'Connor,5,6.909090909,,,
Ausar Thompson,ESPN,5,6.909090909,,,
Ausar Thompson,Tankathon,5,6.909090909,,,
Ausar Thompson,The Box and One,10,6.909090909,,,
Ausar Thompson,NBA Draft Room,9,6.909090909,,,
Ausar Thompson,Sports Illustrated,9,6.909090909,,,
Cam Whitmore,Sam Vecenie,5,7.090909091,,,
Cam Whitmore,CBS,5,7.090909091,,,
Cam Whitmore,nbadraft.net,9,7.090909091,,,
Cam Whitmore,Bleacher Report,9,7.090909091,,,
Cam Whitmore,Kevin O'Connor,9,7.090909091,,,
Cam Whitmore,ESPN,6,7.090909091,,,
Cam Whitmore,Tankathon,7,7.090909091,,,
Cam Whitmore,The Box and One,6,7.090909091,,,
Cam Whitmore,NBA Draft Room,7,7.090909091,,,
Cam Whitmore,Sports Illustrated,8,7.090909091,,,
Cam Whitmore,Average,7,7.1,,,
Jarace Walker,Sam Vecenie,9,7.363636364,,,
Jarace Walker,CBS,8,7.363636364,,,
Jarace Walker,nbadraft.net,13,7.363636364,,,
Jarace Walker,Bleacher Report,5,7.363636364,,,
Jarace Walker,Kevin O'Connor,8,7.363636364,,,
Jarace Walker,ESPN,7,7.363636364,,,
Jarace Walker,Tankathon,6,7.363636364,,,
Jarace Walker,The Box and One,9,7.363636364,,,
Jarace Walker,NBA Draft Room,5,7.363636364,,,
Jarace Walker,Sports Illustrated,4,7.363636364,,,
Taylor Hendricks,Sam Vecenie,6,7.363636364,,,
Taylor Hendricks,CBS,10,7.363636364,,,
Taylor Hendricks,nbadraft.net,4,7.363636364,,,
Taylor Hendricks,Bleacher Report,8,7.363636364,,,
Taylor Hendricks,Kevin O'Connor,7,7.363636364,,,
Taylor Hendricks,ESPN,9,7.363636364,,,
Taylor Hendricks,Tankathon,9,7.363636364,,,
Taylor Hendricks,The Box and One,8,7.363636364,,,
Taylor Hendricks,NBA Draft Room,6,7.363636364,,,
Taylor Hendricks,Sports Illustrated,7,7.363636364,,,
Jarace Walker,Average,7,7.4,,,
Taylor Hendricks,Average,7,7.4,,,
Anthony Black,Average,8,7.5,,,
Anthony Black,Sam Vecenie,8,7.545454545,,,
Anthony Black,CBS,9,7.545454545,,,
Anthony Black,nbadraft.net,5,7.545454545,,,
Anthony Black,Bleacher Report,12,7.545454545,,,
Anthony Black,Kevin O'Connor,6,7.545454545,,,
Anthony Black,ESPN,8,7.545454545,,,
Anthony Black,Tankathon,8,7.545454545,,,
Anthony Black,The Box and One,5,7.545454545,,,
Anthony Black,NBA Draft Room,8,7.545454545,,,
Anthony Black,Sports Illustrated,6,7.545454545,,,
Gradey Dick,Average,11,10.55555556,,,
Gradey Dick,Sam Vecenie,12,10.63636364,,,
