voter_name,affiliation,award,name,value,points,avgPoints,diff,diffSquared,ballot
"Aldridge, David",The Athletic,MVP,x1st_place_10_points,Embiid Joel (PHI),10,9.141414141,0.858585859,0.737169677,MVP
"Aldridge, David",The Athletic,MVP,x2nd_place_7_points,Jokic Nikola (DEN),7,6.737373737,0.262626263,0.068972554,MVP
"Aldridge, David",The Athletic,MVP,x3rd_place_5_points,Antetokounmpo Giannis (MIL),5,6.070707071,-1.070707071,1.146413631,MVP
"Aldridge, David",The Athletic,MVP,x4th_place_3_points,Tatum Jayson (BOS),3,2.797979798,0.202020202,0.040812162,MVP
"Aldridge, David",The Athletic,MVP,x5th_place_1_point,Mitchell Donovan (CLE),1,0.292929293,0.707070707,0.499948985,MVP
"Amick, Sam",The Athletic,MVP,x1st_place_10_points,Antetokounmpo Giannis (MIL),10,6.02020202,3.97979798,15.83879196,MVP
"Amick, Sam",The Athletic,MVP,x2nd_place_7_points,Embiid Joel (PHI),7,9.171717172,-2.171717172,4.716355474,MVP
"Amick, Sam",The Athletic,MVP,x3rd_place_5_points,Jokic Nikola (DEN),5,6.757575758,-1.757575758,3.089072544,MVP
"Amick, Sam",The Athletic,MVP,x4th_place_3_points,Tatum Jayson (BOS),3,2.797979798,0.202020202,0.040812162,MVP
"Amick, Sam",The Athletic,MVP,x5th_place_1_point,Sabonis Domantas (SAC),1,0.262626263,0.737373737,0.543720029,MVP
"Anthony, Greg",WarnerMedia,MVP,x1st_place_10_points,Embiid Joel (PHI),10,9.141414141,0.858585859,0.737169677,MVP
"Anthony, Greg",WarnerMedia,MVP,x2nd_place_7_points,Antetokounmpo Giannis (MIL),7,6.050505051,0.949494949,0.901540659,MVP
"Anthony, Greg",WarnerMedia,MVP,x3rd_place_5_points,Jokic Nikola (DEN),5,6.757575758,-1.757575758,3.089072544,MVP
"Anthony, Greg",WarnerMedia,MVP,x4th_place_3_points,Tatum Jayson (BOS),3,2.797979798,0.202020202,0.040812162,MVP
"Anthony, Greg",WarnerMedia,MVP,x5th_place_1_point,Mitchell Donovan (CLE),1,0.292929293,0.707070707,0.499948985,MVP
"Aschburner, Steve",NBA.com,MVP,x1st_place_10_points,Embiid Joel (PHI),10,9.141414141,0.858585859,0.737169677,MVP
"Aschburner, Steve",NBA.com,MVP,x2nd_place_7_points,Jokic Nikola (DEN),7,6.737373737,0.262626263,0.068972554,MVP
